# N Perid_fraq I0 I1 Q0 U0 Q1 U1 X0 Y0 X1 Y1 DPA dt(min)
# First row Period = 87.951939 [M] ; 30.000780 [min] 
87.951939 30.000780
0 0.000000 280.805292 17.410752 0.585565 -0.142064 -0.067747 0.013334 0.969939 -4.998925 4.879678 -0.598129 72.031170 7.275314
6 0.066665 277.908061 18.151207 0.555297 0.145664 -0.062761 -0.039955 2.907791 -4.222278 4.753626 1.151215 69.059228 7.313656
12 0.133330 271.724351 16.679000 0.331862 0.347175 -0.018653 -0.070276 4.386900 -2.812675 3.964262 2.921258 69.052533 7.300013
18 0.199995 266.358298 15.751746 0.024786 0.368338 0.025666 -0.057861 5.229653 -0.980430 2.505878 4.329766 70.557901 7.226925
24 0.266660 260.643045 15.145878 -0.242780 0.201461 0.023101 0.008622 5.347196 1.046422 0.425515 5.095379 74.153716 7.013303
30 0.333325 251.116073 14.891650 -0.365722 -0.069335 -0.011510 0.073747 4.690645 2.991434 -1.929801 4.871681 79.082344 6.825552
36 0.399990 230.538833 13.154096 -0.329065 -0.286468 -0.048759 0.043122 3.360767 4.550705 -4.037885 3.537818 85.223031 6.672360
42 0.466655 204.376604 15.028367 -0.318804 -0.334624 -0.066592 -0.011358 1.443005 5.492019 -5.271967 1.357785 90.278926 6.498933
48 0.533319 193.857258 14.027653 -0.197392 -0.070601 -0.023089 -0.060987 -0.911471 5.597845 -5.322363 -1.287211 94.347841 6.336085
54 0.599984 222.258180 16.037207 0.064239 0.180570 0.040712 -0.073438 -3.407053 4.573748 -4.228163 -3.428031 92.350826 6.326813
60 0.666649 266.108839 17.151225 -0.020651 0.321231 0.093788 -0.030452 -5.125975 2.447477 -2.389333 -4.803334 89.075638 6.487222
66 0.733314 287.835915 17.826949 -0.197598 0.176590 0.098509 0.024773 -5.543570 -0.081872 -0.165980 -5.256417 87.345262 6.687984
72 0.799979 292.283617 19.272155 -0.186950 -0.134826 0.072656 0.067066 -4.805153 -2.386293 1.814719 -4.817137 84.232960 6.860531
78 0.866644 289.256693 18.529959 0.058794 -0.365097 0.011184 0.085163 -3.228795 -4.088579 3.386997 -3.743463 80.436584 7.051255
84 0.933309 284.014487 18.454441 0.389871 -0.359447 -0.044890 0.061711 -1.181906 -4.981848 4.435487 -2.221698 76.740350 7.236817
90 0.999974 280.999097 17.413190 0.585878 -0.142362 -0.067756 0.013340 0.968249 -4.998763 4.879666 -0.598249 72.048080 7.275314
