# N Perid_fraq I0 I1 Q0 U0 Q1 U1 X0 Y0 X1 Y1 DPA dt(min)
# First row Period = 161.235529 [M] ; 54.998125 [min] 
161.235529 54.998125
0 0.000000 208.102363 15.969576 -0.348081 -0.304793 0.017100 -0.061058 4.445474 5.976553 -3.517105 -3.330224 170.079214 5.736040
6 0.036365 212.535137 18.222875 -0.320735 -0.415821 0.048523 -0.062799 3.087970 6.793727 -2.857178 -4.086936 169.485938 5.407887
12 0.072730 219.295601 19.468554 -0.365272 -0.479205 0.079660 -0.047594 1.489268 7.289407 -2.021098 -4.730851 168.413969 5.115553
18 0.109095 228.436337 21.832277 -0.311119 -0.306524 0.109830 -0.018011 -0.265531 7.401345 -0.955247 -5.235814 167.605746 5.015697
24 0.145460 233.458129 21.790060 0.049366 -0.061076 0.104852 0.011113 -2.026266 7.080896 0.182081 -5.488953 165.930957 5.036841
30 0.181824 239.245721 22.070375 0.231409 0.127241 0.090467 0.039583 -3.644828 6.338547 1.453417 -5.452102 165.026726 5.195148
36 0.218189 245.992796 21.223911 0.244207 0.312024 0.068528 0.070034 -4.996684 5.243787 2.678746 -5.119104 164.004636 5.494661
42 0.254554 250.804466 19.627642 0.145281 0.431841 0.033812 0.085707 -5.981687 3.897648 3.811938 -4.495204 163.386121 5.918963
48 0.290919 255.446629 17.059265 -0.006083 0.458597 -0.001220 0.080473 -6.545974 2.406021 4.713700 -3.667035 162.300056 6.430608
54 0.327284 254.932844 16.130263 -0.152043 0.383150 -0.030171 0.069863 -6.684631 0.871569 5.389150 -2.692743 160.879077 6.944722
60 0.363649 254.051753 14.339415 -0.246863 0.240835 -0.047770 0.048880 -6.405751 -0.601549 5.808676 -1.692633 158.389238 7.442635
66 0.400014 248.847663 13.057983 -0.264822 0.068207 -0.058664 0.022744 -5.756387 -1.939532 6.024529 -0.458263 157.029600 7.959302
72 0.436379 243.211676 12.088937 -0.209684 -0.089338 -0.059761 -0.001802 -4.788308 -3.068063 5.971720 0.733762 154.355650 8.413895
78 0.472743 233.858309 11.331038 -0.099335 -0.199203 -0.052208 -0.024403 -3.590266 -3.941778 5.612234 1.959513 151.574671 8.791240
84 0.509108 227.339771 11.924771 0.034206 -0.252404 -0.039826 -0.046521 -2.233898 -4.538865 4.872474 3.193187 149.443992 9.153282
90 0.545473 220.343325 11.699714 0.166026 -0.246416 -0.016676 -0.054759 -0.800262 -4.840454 3.713618 4.250485 148.244189 9.344149
96 0.581838 214.722597 11.340275 0.271454 -0.194010 0.002600 -0.047158 0.641537 -4.863564 2.198109 4.938493 148.491968 9.443722
102 0.618203 208.769931 13.224300 0.325717 -0.111522 0.019668 -0.013676 2.015958 -4.630079 0.380221 5.108183 152.214574 9.471519
108 0.654568 205.354245 12.005508 0.338757 -0.015808 0.017553 0.042072 3.286980 -4.151799 -1.577630 4.533204 160.820081 9.395981
114 0.690933 201.879629 10.721353 0.311268 0.078998 -0.002953 0.045556 4.404154 -3.469271 -2.735920 3.735628 164.446970 9.141076
120 0.727298 199.694851 9.245217 0.248279 0.159357 -0.017956 0.033689 5.347764 -2.618264 -3.516482 2.839849 167.162628 8.840845
126 0.763662 196.505547 9.922652 0.153878 0.211380 -0.029949 0.023361 6.079231 -1.617727 -4.028685 1.891094 169.755775 8.494501
132 0.800027 196.427571 9.374734 0.042318 0.230363 -0.032176 0.009529 6.578275 -0.508225 -4.307853 1.065389 170.526521 8.161790
138 0.836392 196.416112 10.210167 -0.077489 0.207816 -0.034468 -0.004596 6.833330 0.682754 -4.440026 0.175689 172.028236 7.702167
144 0.872757 197.292487 10.845308 -0.191318 0.142247 -0.031592 -0.017588 6.816976 1.926929 -4.460181 -0.590868 171.762582 7.217205
150 0.909122 198.369170 11.864877 -0.282082 0.038395 -0.024607 -0.031996 6.518444 3.169596 -4.346643 -1.415973 172.112305 6.640607
156 0.945487 200.916322 13.461735 -0.338692 -0.093421 -0.013192 -0.046190 5.921285 4.376051 -4.115331 -2.188746 171.540571 6.296800
162 0.981852 204.708319 15.268291 -0.353286 -0.235709 0.005255 -0.058085 5.010748 5.482294 -3.758507 -2.954554 170.597727 5.900382
