percent,num_samples,sigma_mean,sigma_std
10,1,0.28792063395182294,0.005117217268306003
20,2,0.25993490815162656,0.004959525732968399
30,3,0.23109870652357736,0.0005135636619906872
40,4,0.19206368923187256,0.006369590041106843
50,5,0.14555434385935465,0.006697909721208313
60,6,0.11026433606942494,0.003606275202944956
70,7,0.09953804314136505,0.002139442247336014
80,8,0.07771479338407516,0.004518216519204633
90,9,0.0695866992076238,0.0033644234928282097
100,10,0.06235565369327863,0.0006307100299557014
