percent,num_samples,sigma_mean,sigma_std
10,1,0.37055532932281493,0.007164854914508187
20,2,0.3413425624370575,0.012092189916874548
30,3,0.2975341498851776,0.007386180056073073
40,4,0.24485108256340027,0.01438579421853767
50,5,0.1995428830385208,0.009387087894229651
60,6,0.15537418127059938,0.008974959907725101
70,7,0.12574952095746994,0.005595756454396469
80,8,0.11336365640163422,0.0042557424327735295
90,9,0.10524408370256425,0.003956996540809287
100,10,0.10338406413793563,0.0020501813325406047
