percent,num_samples,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,error_std_mean,error_std_std
10,1,0.25594085454940796,0.0017483878614099927,0.2977271248038946,0.0022995825835291487,0.03416653871536255,0.007535271083610379,0.2976743221282959,0.002247099019227905
20,2,0.222578115016222,0.010420911222395593,0.27368510312920236,0.014067991354529154,0.18130189180374146,0.08744953985604824,0.27141409516334536,0.014106901669670305
30,3,0.1808014541864395,0.0018696730367242273,0.2249536724215558,0.002158833366544606,0.4486162900924683,0.006505277967258103,0.22484464347362518,0.002194495914224726
40,4,0.16141337454319,0.001030214038086324,0.20487769005154427,0.0018590689696941912,0.542576014995575,0.009956070365478758,0.2047644406557083,0.0018192654648516253
50,5,0.14127121567726136,0.0009836803431787487,0.18322478748883858,0.0009192555923729012,0.6341888546943665,0.0040890569803956126,0.1830194503068924,0.0010608955349749665
60,6,0.12039784938097,0.0012266268768914364,0.158320929738347,0.0014264637766501984,0.7268867731094361,0.0028351968126331816,0.15792093575000762,0.0014179277922589998
70,7,0.1018919214606285,0.001443141103625257,0.13631583520168772,0.002436343883140146,0.7975141763687134,0.005698938283259822,0.13580862581729888,0.0022232179673630087
80,8,0.08855679035186767,0.0024456785921251494,0.11779451709387456,0.0031891061009707623,0.8486640214920044,0.009343252653540007,0.11722765266895294,0.0028777476427155916
90,9,0.07639939486980438,0.0006658616427307221,0.10291846462131629,0.0011621387923251188,0.8845790505409241,0.0022639382648532306,0.10272136330604553,0.0010901863594458981
100,10,0.06727247834205627,0.0005543537275138596,0.09116122810277454,0.0006724999224788268,0.9094438672065734,0.00138544301154115,0.09078576564788818,0.0009592756325606768
