percent,num_samples,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,error_std_mean,error_std_std
10,1,0.3274469137191772,0.0038530821432469532,0.41202171417691175,0.004547044209563384,0.473690128326416,0.005644289110431433,0.41180503368377686,0.004392187487679426
20,2,0.31385135650634766,0.004659582504988774,0.3965549750264015,0.004343518170443816,0.5124716520309448,0.003887696654655508,0.39636035561561583,0.0043016819266132175
30,3,0.2861513733863831,0.004480617101275573,0.36348971852092876,0.005908146258587855,0.5903857827186585,0.007549959128212662,0.3633142948150635,0.005865010949166242
40,4,0.2552996814250946,0.0029268027784065016,0.3285099346783307,0.0030135518055324256,0.6653854131698609,0.005906669023767977,0.32826910018920896,0.0031168308123346337
50,5,0.2244801104068756,0.0017551275252247944,0.29208437347074645,0.002771267727667464,0.7354857921600342,0.003974307912288488,0.29192663431167604,0.002812031791890038
60,6,0.20229668021202088,0.0016401388731723777,0.2669784953884765,0.003584498117545626,0.7790217876434327,0.00316682015601932,0.2667844831943512,0.0036869454694862165
70,7,0.18290285766124725,0.0023757043721370796,0.24541401763011833,0.0025667490868545215,0.8132747292518616,0.001919187230808444,0.24515847861766815,0.002785574551717452
80,8,0.17039962708950043,0.001096091779369249,0.23305227804851397,0.0013615188733705973,0.8315955758094787,0.0023829338764004607,0.23279588520526887,0.0013692038806478665
90,9,0.1619612067937851,0.0020180515005901113,0.22215644764772416,0.0014189030278203493,0.846966826915741,0.0027848501783291945,0.22202843725681304,0.001402398484036827
100,10,0.15485585629940032,0.0011283528639428808,0.2147860356502739,0.001552611402482974,0.8569504857063294,0.0028390416768393424,0.21461814343929292,0.0015037689397088172
