percent,num_samples,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,error_std_mean,error_std_std
10,1,0.2350836545228958,0.0018169424140024879,0.2778447872232954,0.0023834320277594705,0.15105843544006348,0.01467955981119654,0.2778318226337433,0.0023851815370207396
20,2,0.23017890751361847,0.002734493539198114,0.27321596383812397,0.002789456217978458,0.17911056677500406,0.015500623926433038,0.2732097903887431,0.002786986275238763
30,3,0.21829262872536978,0.0006490220189389331,0.262502722686439,0.0009405760649829613,0.24225767453511557,0.0050185884376386745,0.2624974052111308,0.0009390701457740487
40,4,0.20457656681537628,0.0021988802152998416,0.24945251507846797,0.0034070971550124642,0.31564807891845703,0.018588681614496633,0.2494347244501114,0.00339341121328878
50,5,0.18718124429384866,0.0006359518468724409,0.23297799889602663,0.002679857996698458,0.40307603279749554,0.013708073474889858,0.23281936844189963,0.0026957867942051066
60,6,0.16440803309281668,0.0017447878565686032,0.21205750219594344,0.0019290464104416549,0.505481998125712,0.008963602266011205,0.2120048701763153,0.0018556212154031502
70,7,0.14769849181175232,0.004050200649695464,0.1953571829781057,0.004054210030091656,0.5802058378855387,0.01748836258233504,0.19496566553910574,0.003894745160433824
80,8,0.13723924259344736,0.0032365263942999893,0.18416386203291532,0.0031232527681703866,0.6269727150599161,0.012579963939342631,0.18410206834475198,0.0031777357515104508
90,9,0.1309789220492045,0.003374904019799364,0.17707444167516462,0.003974114413614995,0.6550703843434652,0.015936761502304865,0.17692316075166067,0.00386410234259684
100,10,0.12268896400928497,0.0032003590235130603,0.16857668358701364,0.0040846871384625566,0.6873878637949625,0.015006640002362199,0.16850032409032187,0.004086516279777927
