percent,num_samples,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,error_std_mean,error_std_std
10,1,0.2446501821279526,0.0014316293462439838,0.2874156893252514,0.0015758970857482092,0.09989744424819946,0.0052275926763968635,0.28738429546356203,0.0015652970929818592
20,2,0.17577050924301146,0.002166531639167531,0.21965205513477337,0.0028506931136111744,0.472500342130661,0.01308213401349837,0.21960340738296508,0.0028376932281378975
30,3,0.10883560329675675,0.0005557195971146704,0.15209436774007418,0.0008720589377066016,0.7479391932487488,0.0023341088484611166,0.15194522142410277,0.0007211852939411098
40,4,0.07465132772922516,0.0015635466341484608,0.1077335362551215,0.001794122105029878,0.8735289573669434,0.003196569520506196,0.10710769146680832,0.0014321096765582172
50,5,0.05399783477187157,0.0019241906753393835,0.07963832606845353,0.0017451414600708592,0.9308837294578552,0.002505620062241878,0.0791805699467659,0.001552591997285894
60,6,0.044938278198242185,0.0017385473765105896,0.06559720391690556,0.002111061567516057,0.953061866760254,0.003276213602681998,0.06504259407520294,0.0021401920446185883
70,7,0.03859872817993164,0.0011218786565496618,0.05631636143792849,0.001980967002290952,0.965410840511322,0.0023846452223413184,0.05589140504598618,0.0020402589628816022
80,8,0.03565269634127617,0.0012654609482374384,0.0516510466402052,0.0015504517816033543,0.9708995938301086,0.0019544954503110247,0.05131153762340546,0.0014181982746599559
90,9,0.03398720920085907,0.0009379016953987747,0.04842147925291855,0.0019831854429142627,0.9744167447090148,0.0020962757751689432,0.04775445088744164,0.002761834176030409
100,10,0.03202356249094009,0.0011484579883433326,0.04648760683218439,0.001174249311352046,0.9764368414878846,0.0012648294787425988,0.04632535129785538,0.0013815981171892094
