percent,num_samples,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,error_std_mean,error_std_std
10,1,0.3126294553279877,0.005771940633902193,0.397923416033301,0.005415517540164561,0.5090926170349122,0.00756262108301326,0.3978452503681183,0.005344252454915099
20,2,0.29953503608703613,0.003578476597439215,0.38171751197516596,0.003753102482291583,0.5471128493547439,0.006263833289628527,0.3815999016165733,0.0037352564933295913
30,3,0.24229021966457367,0.00302015851685915,0.31721586278447694,0.0040834761292714026,0.6880289316177368,0.004623186954402646,0.3171031713485718,0.004195166825869877
40,4,0.18761212527751922,0.0026030383760151025,0.2562055448870749,0.004151478997007375,0.7964787125587464,0.004892580836111968,0.25603833198547366,0.004302451471980708
50,5,0.1521276980638504,0.0008489114229230264,0.21489947738683987,0.002569991706610669,0.8568161964416504,0.0024061786826206763,0.2145742416381836,0.002339058598884236
60,6,0.13271824419498443,0.0025196044856089623,0.19380626373532817,0.002033839669243304,0.8835322380065918,0.0025500381479453436,0.19361154735088348,0.002069996954134689
70,7,0.1228701576590538,0.002371297004114693,0.18103067124973715,0.0028590073716791686,0.8983683109283447,0.0033511295410066314,0.18051230609416963,0.002727761849977294
80,8,0.11802266538143158,0.002246366365900191,0.17486710232678357,0.0030683262835426548,0.9051836252212524,0.0027738655653440207,0.17474010586738586,0.002969478390910597
90,9,0.11239319294691086,0.0010759553096877064,0.16759346199279068,0.0020871000893276023,0.9129160046577454,0.0015404069836654725,0.16712402403354645,0.002056143619576981
100,10,0.10961533188819886,0.0019041835834547024,0.1647533272419391,0.0029813366208293873,0.9158281445503235,0.0027450976447675217,0.16454632580280304,0.0028015648378177595
