percent,num_samples,mae_mean,mae_std,rmse_mean,rmse_std,r2_mean,r2_std,error_std_mean,error_std_std
10,1,0.23267078697681426,0.0015313315138335139,0.27570349985391523,0.0017512687299364638,0.1612924814224243,0.008414414941338032,0.2756544888019562,0.001742327042607638
20,2,0.2231927528977394,0.0018798688319019749,0.2670002358034439,0.002020988089581999,0.2124861091375351,0.010870414959359967,0.2669228881597519,0.002022655341569119
30,3,0.19713698625564574,0.0006016934021362405,0.24276552295947496,0.0009669511432177666,0.3497257471084595,0.003663957835453813,0.2426775574684143,0.0008913275201315903
40,4,0.1598116487264633,0.001771433810825883,0.20696559182961144,0.001997545593080682,0.5273202657699585,0.010208231778338161,0.2068818986415863,0.002009008250839107
50,5,0.12876476645469664,0.0015507886252954838,0.17554803025302312,0.0007659123376480716,0.6599570274353027,0.004158503803766979,0.17527163326740264,0.0009644120626951013
60,6,0.11060831695795059,0.0016900902104322985,0.15628979356005349,0.0014799439067421294,0.7304764986038208,0.004300637546330004,0.15614146888256072,0.0014739750443103219
70,7,0.10011276006698608,0.0020439926375295657,0.1440823774757484,0.0027258267735143396,0.770903205871582,0.007729692885334501,0.14396602511405945,0.002719207677885949
80,8,0.09470580369234086,0.001989440074157306,0.13771014811762033,0.0021302534153607774,0.7906965136528015,0.007135860489293354,0.13761593997478486,0.0021419881904279625
90,9,0.08970815539360047,0.0021634910489977776,0.13203582753366994,0.003120250131747034,0.8075523734092712,0.0091538731072503,0.13180736303329468,0.0031341845080790098
100,10,0.08735506087541581,0.0018893335838801354,0.1293764275713197,0.0016199362731152728,0.8152957558631897,0.00438423189190735,0.12897519767284393,0.0015921516626318023
